fecha;festius;festius_sun;festius_sun_sat
26/8/19;No;No;No
27/8/19;No;No;No
28/8/19;No;No;No
29/8/19;No;No;Yes
30/8/19;No;No;No
31/8/19;No;No;No
1/9/19;No;Yes;Yes
2/9/19;No;No;No
3/9/19;No;No;No
4/9/19;No;No;No
5/9/19;No;No;Yes
6/9/19;No;No;No
7/9/19;No;No;No
8/9/19;No;Yes;Yes
9/9/19;No;No;No
10/9/19;No;No;No
11/9/19;Yes;Yes;Yes
12/9/19;No;No;Yes
13/9/19;No;No;No
14/9/19;No;No;No
15/9/19;No;Yes;Yes
16/9/19;No;No;No
17/9/19;No;No;No
18/9/19;No;No;No
19/9/19;No;No;Yes
20/9/19;No;No;No
21/9/19;No;No;No
22/9/19;No;Yes;Yes
23/9/19;No;No;No
24/9/19;Yes;Yes;Yes
25/9/19;No;No;No
26/9/19;No;No;Yes
27/9/19;No;No;No
28/9/19;No;No;No
29/9/19;No;Yes;Yes
30/9/19;No;No;No
1/10/19;No;No;No
2/10/19;No;No;No
3/10/19;No;No;Yes
4/10/19;No;No;No
5/10/19;No;No;No
6/10/19;No;Yes;Yes
7/10/19;No;No;No
8/10/19;No;No;No
9/10/19;No;No;No
10/10/19;No;No;Yes
11/10/19;No;No;No
12/10/19;Yes;Yes;Yes
13/10/19;No;Yes;Yes
14/10/19;No;No;No
15/10/19;No;No;No
16/10/19;No;No;No
17/10/19;No;No;Yes
18/10/19;No;No;No
19/10/19;No;No;No
20/10/19;No;Yes;Yes
21/10/19;No;No;No
22/10/19;No;No;No
23/10/19;No;No;No
24/10/19;No;No;Yes
25/10/19;No;No;No
26/10/19;No;No;No
27/10/19;No;Yes;Yes
28/10/19;No;No;No
29/10/19;No;No;No
30/10/19;No;No;No
31/10/19;No;No;Yes
1/11/19;Yes;Yes;Yes
2/11/19;No;No;No
3/11/19;No;Yes;Yes
4/11/19;No;No;No
5/11/19;No;No;No
6/11/19;No;No;No
7/11/19;No;No;Yes
8/11/19;No;No;No
9/11/19;No;No;No
10/11/19;No;Yes;Yes
11/11/19;No;No;No
12/11/19;No;No;No
13/11/19;No;No;No
14/11/19;No;No;Yes
15/11/19;No;No;No
16/11/19;No;No;No
17/11/19;No;Yes;Yes
18/11/19;No;No;No
19/11/19;No;No;No
20/11/19;No;No;No
21/11/19;No;No;Yes
22/11/19;No;No;No
23/11/19;No;No;No
24/11/19;No;Yes;Yes
25/11/19;No;No;No
26/11/19;No;No;No
27/11/19;No;No;No
28/11/19;No;No;Yes
29/11/19;No;No;No
